anime_id,name,genre,type,episodes,rating,members
1535,DEATH NOTE," Mystery, Police, Psychological, Supernatural, Thriller ",TV,37,8.71/10,"1,013,917 members"
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,,8.69,16947
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475
20583,haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498
19647,Hajime no Ippo: Rising," Comedy, Drama, Shounen, Sports ",TV,25,8.68,66756
4282,KARA NO KYOUKAI 5: MUJUN RASEN,"Action, Drama, Mystery, Romance, Supernatural, Thriller   ",Movie,1 eps,8.68,111074
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,97187
21329,Mushishi Special: Hihamukage," Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural ",Special,1,8.66,"49,036 members"
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381
7785,yojouhan shinwa taikei,"Mystery, Psychological, Romance",TV,11,8.65/10,122531
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life   ",TV,13,8.64,56162
30709,Kamisama Hajimemashita: Kako-hen,,OVA,4,8.64,33422
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,,8.64,139474
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25 eps,8.64,355839
4565,TENGEN TOPPA GURREN LAGANN MOVIE: LAGANN-HEN,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253
5300,Zoku Natsume Yuujinchou," Drama, Fantasy, Shoujo, Slice of Life, Supernatural ",TV,13,8.64,"114,173 members"
9989,ano hi mita hana no namae wo bokutachi wa mada shiranai.,"Drama, Slice of Life, Supernatural   ",TV,11,8.62,463835
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424
10408,HOTARUBI NO MORI E," Drama, Romance, Shoujo, Supernatural ",Movie,1,8.61/10,197439
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,103178
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen   ",Movie,2 eps,8.6,11104
26055,jojo no kimyou na bouken: stardust crusaders 2nd season," Action, Adventure, Drama, Shounen, Supernatural ",TV,24,8.6,"93,657 members"
7472,GINTAMA MOVIE: SHINYAKU BENIZAKURA-HEN,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,,8.59,51185
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454
22535,Kiseijuu: Sei no Kakuritsu,,TV,24,8.59,425457
28735,Shouwa Genroku Rakugo Shinjuu," Drama, Historical, Josei ",TV,13,8.59,71295
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space   ",TV,99,8.59,72958
28805,BAKEMONO NO KO,"Adventure, Supernatural",Movie,1,8.58/10,80825
578,hotaru no haka,"Drama, Historical",Movie,1,8.58,174878
16894,Kuroko no Basket 2nd Season," Comedy, School, Shounen, Sports ",TV,25 eps,8.58,"243,325 members"
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862
801,GHOST IN THE SHELL: STAND ALONE COMPLEX 2ND GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen   ",TV,26,8.57,113993
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai," Action, Adventure, Comedy, Drama, Shounen, Supernatural ",TV,39,8.57,74074
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,,8.57,95658
17389,kingdom 2nd season,"Action, Historical, Military, Seinen",TV,39,8.57,31234
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570
10162,USAGI DROP," Josei, Slice of Life ",TV,11,8.56/10,"194,855 members"
18617,Girls und Panzer der Film,"Military, School   ",Movie,1 eps,8.55,25641
32182,Mob Psycho 100,,TV,12,8.55,193716
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256
2251,Baccano!," Action, Comedy, Historical, Mystery, Seinen, Supernatural ",TV,13,8.54,363215
24687,mushishi zoku shou: odoro no michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen   ",TV,25,8.53,151561
5941,Cross Game," Comedy, Drama, Romance, School, Sports ",TV,50,8.53,"53,108 members"
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,,8.53,28864
3784,EVANGELION: 2.0 YOU CAN (NOT) ADVANCE,"Action, Mecha, Sci-Fi",Movie,1 eps,8.53/10,182224
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376
12029,uchuu senkan yamato 2199," Action, Drama, Military, Sci-Fi, Space ",OVA,26,8.53,44223
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports   ",TV,25,8.52,86074
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630
14719,JOJO NO KIMYOU NA BOUKEN (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197
9756,Mahou Shoujo Madoka★Magica," Drama, Magic, Psychological, Thriller ",TV,12,8.51,"462,974 members"
10165,Nichijou,,TV,26,8.52,254436
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109
22789,barakamon,"Comedy, Slice of Life   ",TV,12 eps,8.5,225927
30230,DIAMOND NO ACE: SECOND SEASON," Comedy, School, Shounen, Sports ",TV,51,8.5/10,38531
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,,8.5,245026
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405
205,Samurai Champloo," Action, Adventure, Comedy, Historical, Samurai, Shounen ",TV,26,8.5,"390,076 members"
32282,SHOKUGEKI NO SOUMA: NI NO SARA,"Ecchi, School, Shounen   ",TV,13,8.5,185015
6594,katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361
7655,Major S6," Comedy, Drama, Sports ",TV,25 eps,8.49,24788
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850
25835,SHIROBAKO,"Comedy, Drama",TV,24,8.49/10,146895
2921,Ashita no Joe 2,"Drama, Sports   ",TV,47,8.48,6259
136,Hunter x Hunter,,TV,62,8.48,"166,255 members"
30503,noragami aragoto,"Action, Adventure, Shounen, Supernatural",TV,,8.48,299434
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592
523,TONARI NO TOTORO,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484
467,Ghost in the Shell: Stand Alone Complex," Action, Mecha, Military, Police, Sci-Fi, Seinen ",TV,26,8.47,194491
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy   ",Movie,1 eps,8.47,143273
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074
392,yuu☆yuu☆hakusho," Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen ",TV,112,8.47/10,"195,017 members"
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,102822
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life   ",TV,23,8.46,157025
5341,Ookami to Koushinryou II," Adventure, Fantasy, Historical, Romance ",TV,12,8.46,210491
25781,SHINGEKI NO KYOJIN: KUINAKI SENTAKU,"Action, Fantasy, Shoujo, Supernatural",OVA,,8.45,92543
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1 eps,8.46,159548
28701,fate/stay night: unlimited blade works 2nd season,,TV,13,8.45,205987
5420,Kemono no Souja Erin," Drama, Fantasy ",TV,50,8.45,"36,751 members"
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire   ",Movie,1,8.45,99579
32,NEON GENESIS EVANGELION: THE END OF EVANGELION,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45/10,215630
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817
2236,Toki wo Kakeru Shoujo," Adventure, Drama, Romance, Sci-Fi ",Movie,1,8.44,289206
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963
31181,owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855
45,RUROUNI KENSHIN: MEIJI KENKAKU ROMANTAN,"Action, Adventure, Comedy, Historical, Romance, Samurai   ",TV,94 eps,8.43,218928
2418,Stranger: Mukou Hadan," Action, Adventure, Historical, Samurai ",Movie,1,8.43,"125,503 members"
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,,8.42,28462
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061
10937,MOBILE SUIT GUNDAM: THE ORIGIN," Action, Mecha, Military, Sci-Fi, Shounen, Space ",OVA,6,8.42/10,15420
23755,nanatsu no taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural   ",TV,24,8.42,331627
4081,Natsume Yuujinchou,,TV,13,8.42,210736
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020
1889,Higurashi no Naku Koro ni Kai," Mystery, Psychological, Supernatural, Thriller ",TV,24 eps,8.41,"218,101 members"
137,HUNTER X HUNTER OVA,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural   ",OVA,2,8.41,67261
558,major s2," Comedy, Drama, Shounen, Sports ",TV,26,8.41,30689
5040,One Outs,"Psychological, Seinen, Sports",TV,,8.41,83056
57,BECK,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4/10,148328
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430
5,Cowboy Bebop: Tengoku no Tobira," Action, Drama, Mystery, Sci-Fi, Space ",Movie,1,8.4,"137,636 members"
1842,Major S3,"Drama, Shounen, Sports   ",TV,26 eps,8.4,29528
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076
20651,natsume yuujinchou: itsuka yuki no hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302
1210,NHK ni Youkoso!," Comedy, Drama, Psychological, Romance ",TV,24,8.4,291228
338,Rose of Versailles,,TV,40,8.4,32188
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural   ",TV,13,8.39,717796
5081,BAKEMONOGATARI," Mystery, Romance, Supernatural, Vampire ",TV,15,8.39/10,"482,268 members"
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,,8.39,83641
264,hajime no ippo: champion road,"Comedy, Shounen, Sports",Special,1 eps,8.39,47840
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,76051
853,Ouran Koukou Host Club," Comedy, Harem, Romance, School, Shoujo ",TV,26,8.39,422271
5460,DETECTIVE CONAN MOVIE 13: THE RAVEN CHASER,"Action, Mystery, Police, Shounen   ",Movie,1,8.38,21798
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,8.38,556431
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11,8.38,67697
329,Planetes," Drama, Romance, Sci-Fi, Seinen, Space ",TV,26,8.38,"105,044 members"
34240,shelter,"Music, Sci-Fi",Music,1,8.38,71136
513,TENKUU NO SHIRO LAPUTA,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38/10,151061
6945,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi   ",Special,1 eps,8.37,27213
1142,Hachimitsu to Clover II,,TV,12,8.37,61493
6811,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,,8.37,99128
16664,Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,1,8.37,45547
1604,KATEKYO HITMAN REBORN!,"Action, Comedy, Shounen, Super Power",TV,203,8.37,258103
22145,kuroshitsuji: book of circus," Comedy, Demons, Fantasy, Historical, Shounen, Supernatural ",TV,10,8.37,"122,895 members"
2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance   ",TV,13,8.37,334932
31964,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13,8.36,282002
19363,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,11,8.36,67032
18195,LITTLE BUSTERS!: REFRAIN," Comedy, Drama, Romance, School, Slice of Life, Supernatural ",TV,13 eps,8.36/10,71820
9890,Major: Message,"Comedy, Drama, Sports",OVA,1,8.36,12282
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.36,27532
9863,sket dance,"Comedy, School, Shounen   ",TV,77,8.36,101027
7674,Bakuman.," Comedy, Romance, Shounen ",TV,25,8.35,"246,899 members"
11843,DANSHI KOUKOUSEI NO NICHIJOU,"Comedy, School, Shounen, Slice of Life",TV,,8.35,258914
16782,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,189741
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,,Movie,1,8.35,59815
3226,Major S4," Comedy, Drama, Shounen, Sports ",TV,26,8.35,28002
21557,Omoide no Marnie,"Drama, Mystery, Psychological   ",Movie,1 eps,8.35,53590
31715,working!!!: lord of the takanashi,"Comedy, Romance, Slice of Life",Special,1,8.34/10,31856
43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036
9617,K-On! Movie," Comedy, Music, Slice of Life ",Movie,1,8.34,"115,252 members"
31051,Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",Special,1,8.34,22900
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power",Movie,1,8.34,13315
1033,SENNEN JOYUU,"Action, Adventure, Drama, Fantasy, Historical, Romance   ",Movie,1,8.34,58492
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero," Sci-Fi, Thriller ",Special,1,8.34,38147
3091,xxxholic kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,,8.34,74941
12115,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1 eps,8.33,65594
28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914
121,FULLMETAL ALCHEMIST," Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen ",TV,51,8.33/10,"600,384 members"
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller   ",TV,26,8.33,98996
138,Hunter x Hunter: Greed Island,,OVA,8,8.33,57029
6675,Redline,"Action, Cars, Sci-Fi, Sports",Movie,1,8.33,109392
10800,chihayafuru," Drama, Game, Josei, Slice of Life, Sports ",TV,25,8.32,158561
32005,DETECTIVE CONAN MOVIE 20: THE DARKEST NIGHTMARE,"Action, Mystery, Police, Shounen",Movie,1,8.32,6229
813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,375662
27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural   ",Special,1 eps,8.32,106382
28725,Kokoro ga Sakebitagatterunda.," Drama, Romance, School ",Movie,1,8.32,"59,652 members"
585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,,8.32,94435
16067,NAGI NO ASUKARA,"Drama, Fantasy, Romance",TV,26,8.32/10,224947
30,neon genesis evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946
31490,One Piece Film: Gold," Action, Adventure, Comedy, Drama, Fantasy, Shounen ",Movie,1,8.32,18642
759,Tokyo Godfathers,"Comedy, Drama   ",Movie,1,8.32,89424
6,Trigun,"Action, Comedy, Sci-Fi",TV,26,8.32,283069
6864,XXXHOLIC ROU,"Mystery, Supernatural",OVA,2,8.32,36353
9735,Gintama: Shinyaku Benizakura-hen," Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen ",Special,1 eps,8.31,"14,002 members"
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,,Movie,1,8.31,88164
11123,sekaiichi hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.31,69253
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School   ",TV,13,8.31,222994
33161,YAHARI ORE NO SEISHUN LOVE COMEDY WA MACHIGATTEIRU. ZOKU OVA," Comedy, Romance, School ",OVA,1,8.31/10,35120
962,Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,,8.3,39596
1519,Black Lagoon: The Second Barrage,"Action, Seinen",TV,12,8.3,203233
2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,566690
16706,Kami nomi zo Shiru Sekai: Megami-hen," Comedy, Harem, Romance, Shounen, Supernatural ",TV,12,8.3,"142,612 members"
5681,summer wars,"Comedy, Sci-Fi   ",Movie,1 eps,8.3,223359
3901,Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,8.29,100412
6467,Detective Conan Movie 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen",Movie,1,8.29,20602
10271,Gyakkyou Burai Kaiji: Hakairoku-hen," Game, Psychological, Seinen, Thriller ",TV,26,8.29,55566
22507,Initial D Final Stage,"Cars, Seinen, Sports",TV,4,8.29,19702
3701,KAIBA,"Adventure, Mystery, Romance, Sci-Fi",TV,12,8.29/10,56927
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power   ",Special,1,8.29,17247
33255,saiki kusuo no ψ-nan (tv),,TV,120,8.29,"47,092 members"
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,,8.28,60637
265,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,1 eps,8.28,40623
25681,KAMISAMA HAJIMEMASHITA◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,12,8.28,91796
4722,Skip Beat!," Comedy, Drama, Romance, Shoujo ",TV,25,8.28,134818
24277,Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports   ",TV,24,8.28,50778
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27,103828
512,majo no takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1,8.27,152331
4477,NODAME CANTABILE: PARIS-HEN," Comedy, Josei, Music, Romance, Slice of Life ",TV,11,8.27/10,"70,822 members"
15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1,8.27,24707
31174,Osomatsu-san,"Comedy, Parody",TV,25,8.27,60988
23327,Space☆Dandy 2nd Season,"Comedy, Sci-Fi, Space   ",TV,13 eps,8.27,60918
5365,Tsumiki no Ie, Drama ,Movie,1,8.27,45189
3702,DETROIT METAL CITY,"Comedy, Music",OVA,,8.26,104893
3167,eve no jikan,"Sci-Fi, Slice of Life",ONA,6,8.26,99074
7465,Eve no Jikan (Movie),,Movie,1,8.26,66376
7054,Kaichou wa Maid-sama!," Comedy, Romance, School, Shoujo ",TV,26,8.26,"391,628 members"
1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,"Adventure, Sci-Fi, Shounen   ",OVA,13,8.26,23701
23283,ZANKYOU NO TERROR,"Psychological, Thriller",TV,11,8.26/10,342893
2025,Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334
235,Detective Conan," Adventure, Comedy, Mystery, Police, Shounen ",TV,Unknown eps,8.25,114702
1364,detective conan movie 05: countdown to heaven,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,8.25,25432
18689,Diamond no Ace,"Comedy, School, Shounen, Sports",TV,75,8.25,81384
22043,FAIRY TAIL (2014),"Action, Adventure, Comedy, Fantasy, Magic, Shounen   ",TV,102,8.25,255076
31988,Hibike! Euphonium 2," Drama, Music, School ",TV,13,8.25,"47,716 members"
20899,JoJo no Kimyou na Bouken: Stardust Crusaders,"Action, Adventure, Drama, Shounen, Supernatural",TV,,8.25,120089
1453,Maison Ikkoku,"Comedy, Drama, Romance, Slice of Life",TV,96,8.25,22079
23623,Non Non Biyori Repeat,"Comedy, School, Seinen, Slice of Life",TV,12,8.26,64230
1559,shijou saikyou no deshi kenichi," Action, Comedy, Martial Arts, School, Shounen ",TV,50,8.25/10,129112
1382,Yuusha-Ou GaoGaiGar Final,"Adventure, Drama, Mecha, Sci-Fi, Shounen   ",OVA,8 eps,8.25,5001
23289,Gekkan Shoujo Nozaki-kun,,TV,12,8.24,292622
18,Initial D Fourth Stage,"Action, Cars, Drama, Seinen, Sports",TV,24,8.24,41584
